truckid,driverid,event,city,state,velocity,event_ind,idling_ind
A54,A54,normal,Santa Rosa,California,17,0,0
A20,A20,normal,Aptos,California,27,0,0
A40,A40,overspeed,Stockton,California,77,1,0
A31,A31,normal,Willits,California,22,0,0
A71,A71,normal,Irvine,California,43,0,0
A50,A50,normal,Occidental,California,0,0,1
A51,A51,normal,Modesto,California,0,0,1
A19,A19,normal,San Pablo,California,0,0,1
A77,A77,normal,San Pablo,California,25,0,0
A92,A92,normal,Mariposa,California,0,0,1
A89,A89,normal,Arbuckle,California,38,0,0
A86,A86,normal,San Diego,California,45,0,0
A5,A5,unsafe following distance,Klamath,California,33,1,0
A54,A54,normal,Bakersfield,California,19,0,0
A48,A48,overspeed,Roseville,California,77,1,0
A2,A2,normal,Jacumba,California,50,0,0
A98,A98,normal,Oceanside,California,27,0,0
A10,A10,normal,Kneeland,California,0,0,1
A12,A12,normal,Knightsen,California,59,0,0
A43,A43,normal,Knightsen,California,45,0,0
A65,A65,normal,Mariposa,California,0,0,1
A62,A62,normal,San Dimas,California,39,0,0
A94,A94,unsafe following distance,San Quentin,California,0,1,1
A68,A68,normal,Santa Rosa,California,51,0,0
A49,A49,lane departure,Ukiah,California,41,1,0
A72,A72,normal,Stockton,California,0,0,1
A10,A10,normal,San Dimas,California,46,0,0
A68,A68,normal,Apple Valley,California,16,0,0
A51,A51,normal,La Palma,California,15,0,0
A7,A7,normal,Palo Cedro,California,40,0,0
A11,A11,normal,Willits,California,31,0,0
A8,A8,normal,Santa Rosa,California,25,0,0
A37,A37,normal,Goleta,California,16,0,0
A9,A9,normal,Antelope,California,67,0,0
A34,A34,normal,Santa Rosa,California,68,0,0
A38,A38,normal,La Quinta,California,72,0,0
A56,A56,normal,Goleta,California,0,0,1
A27,A27,normal,Occidental,California,18,0,0
A26,A26,normal,Ojai,California,19,0,0
A58,A58,normal,Antelope,California,39,0,0
A57,A57,normal,San Fernando,California,16,0,0
A68,A68,normal,Homeland,California,28,0,0
A17,A17,normal,Stockton,California,16,0,0
A93,A93,normal,Santa Rosa,California,37,0,0
A37,A37,normal,Palo Alto,California,18,0,0
A33,A33,normal,San Quentin,California,63,0,0
A33,A33,normal,Kneeland,California,34,0,0
A69,A69,normal,Bakersfield,California,45,0,0
A22,A22,normal,Ukiah,California,30,0,0
A98,A98,normal,San Quentin,California,42,0,0
A100,A100,normal,Glendora,California,0,0,1
A15,A15,normal,Rough and Ready,California,42,0,0
A66,A66,normal,Hollister,California,39,0,0
A33,A33,normal,Santa Rosa,California,57,0,0
A15,A15,normal,Santa Rosa,California,56,0,0
A37,A37,normal,Santa Paula,California,68,0,0
A49,A49,normal,Martinez,California,53,0,0
A50,A50,normal,Glendora,California,25,0,0
A38,A38,normal,La Quinta,California,69,0,0
A52,A52,normal,Roseville,California,71,0,0
A22,A22,normal,Santa Rosa,California,0,0,1
A16,A16,normal,Arbuckle,California,0,0,1
A67,A67,normal,Santa Rosa,California,42,0,0
A100,A100,normal,Santa Rosa,California,52,0,0
A39,A39,normal,Willits,California,0,0,1
A79,A79,normal,San Fernando,California,70,0,0
A5,A5,normal,Palmdale,California,50,0,0
A27,A27,normal,Rough and Ready,California,59,0,0
A12,A12,normal,Santa Rosa,California,69,0,0
A35,A35,normal,Willits,California,0,0,1
A20,A20,normal,San Dimas,California,55,0,0
A16,A16,normal,Santa Rosa,California,37,0,0
A62,A62,normal,Santa Rosa,California,71,0,0
A99,A99,normal,Apple Valley,California,0,0,1
A35,A35,normal,Willits,California,75,0,0
A16,A16,normal,Gilroy,California,0,0,1
A29,A29,normal,Palo Alto,California,46,0,0
A28,A28,normal,Palmdale,California,38,0,0
A59,A59,normal,Santa Monica,California,20,0,0
A76,A76,normal,Homeland,California,31,0,0
A32,A32,normal,Klamath,California,67,0,0
A32,A32,normal,La Palma,California,69,0,0
A35,A35,normal,Knightsen,California,32,0,0
A66,A66,normal,Santa Rosa,California,73,0,0
A18,A18,normal,Apple Valley,California,42,0,0
A97,A97,overspeed,Santa Rosa,California,33,1,0
A91,A91,normal,Stockton,California,69,0,0
A78,A78,normal,Antelope,California,41,0,0
A30,A30,normal,Santa Rosa,California,23,0,0
A40,A40,normal,Klamath,California,61,0,0
A75,A75,lane departure,San Dimas,California,41,1,0
A73,A73,normal,Glendora,California,22,0,0
A71,A71,normal,Cloverdale,California,68,0,0
A94,A94,normal,Antelope,California,41,0,0
A84,A84,normal,Bakersfield,California,21,0,0
A40,A40,normal,Santa Rosa,California,47,0,0
A11,A11,normal,Santa Rosa,California,24,0,0
A61,A61,normal,Apple Valley,California,33,0,0
A68,A68,normal,Santa Paula,California,0,0,1
A99,A99,normal,Ojai,California,55,0,0
A2,A2,normal,Oceanside,California,20,0,0
A90,A90,normal,Irvine,California,20,0,0
A88,A88,normal,Palo Cedro,California,0,0,1
A35,A35,normal,Hollister,California,25,0,0
A79,A79,normal,San Fernando,California,0,0,1
A94,A94,normal,Irvine,California,72,0,0
A7,A7,normal,Willits,California,0,0,1
A31,A31,normal,Willits,California,0,0,1
A9,A9,normal,San Diego,California,54,0,0
A9,A9,unsafe tail distance,San Diego,California,63,1,0
A20,A20,normal,Modesto,California,24,0,0
A70,A70,normal,Markleeville,California,19,0,0
A50,A50,normal,Bakersfield,California,43,0,0
A21,A21,normal,Roseville,California,0,0,1
A34,A34,normal,Palo Cedro,California,51,0,0
A85,A85,normal,Modesto,California,33,0,0
A5,A5,normal,Napa,California,46,0,0
A62,A62,normal,Willits,California,22,0,0
A52,A52,normal,San Quentin,California,0,0,1
A63,A63,normal,Irvine,California,74,0,0
A12,A12,normal,Santa Rosa,California,58,0,0
A71,A71,normal,Holtville,California,73,0,0
A39,A39,normal,Antelope,California,0,0,1
A81,A81,normal,Santa Maria,California,45,0,0
A7,A7,normal,Palo Cedro,California,40,0,0
A33,A33,normal,San Dimas,California,0,0,1
A6,A6,normal,Santa Paula,California,70,0,0
A24,A24,normal,Hollister,California,63,0,0
A59,A59,normal,Jacumba,California,39,0,0
A79,A79,normal,Palo Alto,California,75,0,0
A100,A100,normal,Occidental,California,43,0,0
A38,A38,normal,Apple Valley,California,46,0,0
A46,A46,normal,Apple Valley,California,68,0,0
A49,A49,normal,Santa Rosa,California,75,0,0
A72,A72,normal,Isleton,California,0,0,1
A38,A38,normal,Palo Cedro,California,61,0,0
A80,A80,unsafe tail distance,San Francisco,California,28,1,0
A64,A64,normal,San Quentin,California,75,0,0
A35,A35,normal,Knightsen,California,0,0,1
A38,A38,normal,Willits,California,16,0,0
A68,A68,normal,Homeland,California,0,0,1
A95,A95,normal,Isleton,California,67,0,0
A12,A12,normal,San Pablo,California,37,0,0
A53,A53,normal,Santa Rosa,California,75,0,0
A76,A76,normal,Santa Rosa,California,50,0,0
A19,A19,normal,Aptos,California,50,0,0
A68,A68,normal,Apple Valley,California,22,0,0
A96,A96,normal,San Pablo,California,0,0,1
A38,A38,normal,Palo Cedro,California,61,0,0
A68,A68,normal,Homeland,California,16,0,0
A36,A36,normal,Santa Rosa,California,48,0,0
A60,A60,normal,Kneeland,California,23,0,0
A52,A52,normal,Palo Alto,California,71,0,0
A91,A91,unsafe following distance,Santa Rosa,California,43,1,0
A59,A59,unsafe following distance,Santa Monica,California,43,1,0
A91,A91,normal,Stockton,California,61,0,0
A55,A55,normal,Gilroy,California,67,0,0
A76,A76,normal,San Francisco,California,0,0,1
A61,A61,normal,Willits,California,0,0,1
